size,insertion sort,selection sort,bubble sort,quick sort,merge sort
1000,4919900,7698900,12543800,1121300,374300
2000,52006500,28818200,19430500,2386000,2344000
3000,99355300,5737300,19804600,4297300,3737700
4000,27448100,18805200,37364800,610000,617000
5000,23999500,17127800,60707800,1287200,1184900
6000,33679000,24471800,90593700,910500,883100
7000,46320400,37418700,128124100,1035200,1051400
8000,60535300,47663700,190266400,1271000,1250700
9000,73892200,58020300,215191700,1359000,1339900
10000,104688500,71749900,269253700,1530900,1508600
11000,80975700,88247000,331538200,1692900,1686900
12000,97418800,104803300,405957300,1909000,1897300
13000,113537900,126360000,474817100,2042800,2038800
14000,132373500,145163900,561047700,2220400,2302200
15000,153312300,168506900,672227300,2497700,2515900
16000,172269100,194227800,741415700,2586100,2559900
17000,223116500,221816900,1033723900,3015600,2992300
18000,221476100,248839000,960534500,2965200,2939500
19000,280813400,283218500,1312988300,3483700,3440500
20000,275110300,317839900,1197026400,3319400,3296700
21000,349472700,357441700,1615081900,3795300,3781500
22000,335051600,396873100,1475494400,3729300,3852100
23000,369396900,442456200,1892427500,4138700,4128300
24000,424403800,487736700,1856769200,4595900,4409100
25000,439114800,537062100,1945864300,4289800,4934400
26000,474114800,586067600,2483863000,4775600,4784000
27000,574188200,642353900,2745670200,5156000,5146100
28000,553247700,697045700,2481660000,5058200,5054600
29000,591532600,757792300,2794163000,5237600,5206300
30000,635457300,816457100,3016792100,5429200,5434200
31000,772994600,1073969900,3870238800,5908500,6097000
32000,801034300,970406000,3821537100,6087000,6098400
33000,829269900,1015742900,3658508300,6286400,6398200
34000,940071100,1083590800,4686592000,6527500,6506500
35000,971306500,1157116200,4897862400,6837400,6813900
36000,1031605900,1247756900,5022457300,7114800,7422400
37000,1074027400,1308488700,5190130500,7231900,7172500
38000,1131694200,1396677100,5529924900,7431800,7420900
39000,1225762000,1496983600,6005380100,7744100,7702600
40000,1280927000,1561584200,6592577600,7884800,7862300
41000,1361454900,1646165600,6956672200,8196800,8033800
42000,1438898600,1743502400,6699275900,8129700,8108900
43000,1327754700,1827444200,6872194800,8266600,8359700
44000,1396378000,1914992600,7238332800,8593900,8578300
45000,1522935900,2026073500,7665336000,9157600,9105600
46000,1683326400,2142137700,8476864800,9288200,9203800
47000,1602955700,2227009600,8698869400,9202500,9317900
48000,1679270500,2341002800,8414371000,9649200,9608100
49000,1880112000,2426704300,9434427700,9938000,9834000
50000,1799669400,2533451400,9867860900,10007300,9957300
51000,1982216700,2664880700,11119300300,10760700,10771700
52000,2217962200,2816749700,11473852000,10678700,10612700
53000,2016847400,2914869700,10033808500,10899700,10552200
54000,2335431400,3016000100,11991010200,11155600,11185500
55000,2215118500,3145003100,11052068100,11033600,11024000
56000,2528242900,3244348000,13167290500,11552400,11511700
57000,2371362400,3366656000,12052729700,11605500,11731300
58000,2709647000,3491324300,14461470200,11982700,12764800
59000,2615065100,3627468300,14549292600,12578800,12655400
60000,2951004200,3758450100,15101059800,15139200,14845400
61000,3005258500,3903828600,16010253100,12749300,12751000
62000,2974378900,4012884100,16041118900,13218200,13195600
63000,2852777600,4151666700,16253474900,12798900,12818400
64000,3303913100,4315441100,17618321800,13181900,13287600
65000,3341911100,4443762400,17432318100,13708800,13542800
66000,3288920600,4585018300,16302596600,13816600,13780000
67000,3452838900,4726182200,16708258900,14011500,13818800
68000,3597372100,4904209600,20263481900,14769300,14571600
69000,3741092500,5433507600,20753960800,15703200,14775600
70000,3886048900,5201836800,21022114800,15080700,15219400
71000,3956596500,5351699500,22083159700,15471900,15236500
72000,4147507100,5513376500,22282825000,15588500,15386400
73000,4228083100,5666854500,23330323800,16165800,15744400
74000,4344258800,5819911600,24044139600,16180500,15926800
75000,4456674400,6008547700,24965249700,16480500,16191900
76000,4578530700,6167591800,25576578800,17324600,16473200
77000,4731613900,6344796900,26267464500,16839300,16654900
78000,4906683200,6513413000,26655131800,17733800,16994600
79000,5102718100,6698193500,25885184800,17282900,16938000
80000,5214650900,6860393100,25907470000,17101600,17074900
81000,5319202800,7073094800,27806636800,17737300,18181100
82000,5398817900,7245126600,29794465800,17816300,17626600
83000,5621110300,7410257700,27409823800,17666000,17706700
84000,5499762200,8110763400,31275098600,19409300,19386900
85000,6285661600,8080716000,32875057800,18976300,19208200
86000,6151431300,8493425300,29426904700,18994600,18314000
87000,6081803000,8188419400,33871898200,19039500,19020300
88000,6300148700,8398154800,30448126000,19341600,18984200
89000,6262919300,8689121400,33867346400,19743800,20003500
90000,6585975200,8778060500,35577005800,20016300,19858100
91000,6579626100,9031899800,36068673800,20316600,20075900
92000,6894353100,9198863600,38837941400,21447200,21529000
93000,7365567600,9506998500,40740800600,20387300,21099400
94000,7087695100,9628742900,37790397500,20320200,20310200
95000,7145548900,9840264600,39981679400,21030900,20886300
96000,7270683900,10076934600,41227684400,21508100,21377900
97000,7704803900,10270031000,40518377900,22037700,21053000
98000,7795997800,10607078900,41381245900,21528100,21490400
99000,7837291200,10786149000,43373286700,21928200,21780600
100000,7935004600,10936862500,44767799800,22309200,22229300
