size,insertion sort,selection sort,bubble sort,quick sort,merge sort
1000,6952700,8809300,14716400,1205500,384000
2000,58265000,31280000,21243700,2493000,2508800
3000,43154800,12797200,35564400,4093700,3700600
4000,30761900,19899300,70058100,754100,611400
5000,19749500,28784900,87134100,1220900,1211300
6000,48117200,26092500,88885300,1464100,1474200
7000,49974700,46061200,137539000,1075300,1036900
8000,50137300,49975000,194110100,1296700,1276600
9000,54928700,62373900,281539100,1373800,1501000
10000,98205000,87076100,361327400,1915500,1558800
11000,93944000,98739700,407263100,1730300,1754200
12000,123589600,142963800,505564000,1974000,1966200
13000,148394000,130481400,555615700,2075700,2097600
14000,134275900,145447000,587240600,2253300,2279600
15000,158091300,168266800,717580600,2672800,2713800
16000,184338600,200431900,758670100,2648100,2601100
17000,229998500,238319100,1121610700,4831000,4702800
18000,223692100,274709300,976047700,2981200,2961300
19000,281329300,287182300,1374700800,3460000,3453800
20000,275529000,351031400,1251890100,3364200,3346900
21000,366289700,367064100,1750677600,3881600,3833800
22000,365145800,403014700,1602825300,3774000,3850400
23000,419929300,477985200,2044149500,4156700,4154300
24000,499678100,518346500,1973868100,6871000,4422800
25000,466918900,580951900,2042342400,4349900,4662800
26000,586980200,647348800,2653924600,4822800,4807600
27000,572634600,654032600,2859169300,5159000,5134200
28000,570679500,755157700,2602581700,5044100,5048600
29000,658355000,778717900,3104033700,5270100,5279200
30000,667716300,920968700,3179714100,5524800,5489800
31000,830508700,940944000,4041186200,5982700,5924500
32000,848803600,1014893300,3987401100,6185500,6103400
33000,903542600,1138308600,4219243000,9783500,9764700
34000,989371100,1123456400,4787675800,8413700,11915500
35000,1045910700,1218137200,5076520400,6874500,6830200
36000,1053888900,1280823700,5115491000,7086200,7031800
37000,1127377700,1357400900,5599582600,7210400,7246100
38000,1250279700,1537345200,5788327800,7683800,7451800
39000,1231695200,1538256400,6376333400,9068600,12067900
40000,1355954400,1646366100,6965258200,7916500,7928200
41000,1413590000,1706076600,7309614400,8040700,8148700
42000,1562961000,1906902700,7074304200,8266500,8236500
43000,1380416300,1913260000,7109671200,8326500,8379700
44000,1472784000,2155176000,7712692700,8559100,8617200
45000,1654516600,2112390600,8003180000,9174400,9203700
46000,1788945500,2230324200,8796434900,9300400,16583800
47000,1729400700,2370678800,9216181000,13109900,10062600
48000,1950607200,2525906700,8754064200,9708100,9775100
49000,2017218800,2511032600,9831892100,9897200,9856000
50000,1900338800,2630381400,10587142500,10195400,9975800
51000,2104674000,2828461400,11720674600,10776500,10851100
52000,2439759000,2981587500,12013219800,10750000,10716400
53000,2121987300,3094559500,10392039500,10524100,10476800
54000,2501967000,3268685000,13010860700,11393000,11313600
55000,2337500600,3304868600,12089561300,11112800,11035500
56000,2637518100,3523579900,13916013700,11679200,11591200
57000,2481109600,3546814800,13004727500,14471400,16398900
58000,2890779700,3609865500,15141946100,12050700,11933300
59000,2863728900,3787349100,15883617500,13532100,12635700
60000,3122715400,4166703200,17056144300,15137400,15071300
61000,3227010000,4083672800,16542117200,12996300,12746400
62000,3185185700,4646607700,16900770400,13364400,13297000
63000,3007378800,4484070300,17157146600,12921800,12808000
64000,3624219300,4705288400,18515985600,13313200,13286800
65000,3580239200,4766862200,20342371600,13801600,13599700
66000,3858127400,4875980800,17545420000,13876600,15804500
67000,3611663800,5123913900,18237933100,15477000,15485200
68000,3885568300,5431855100,21472308300,14961300,14711700
69000,4055339900,5344611000,21995929100,15048500,14761800
70000,4183890100,5235741900,21333523600,15330300,15062500
71000,4586679900,6101389800,24019352800,15704200,15327200
72000,4482392100,5766699600,23760915200,15669300,15398300
73000,4284109700,6200457100,25610429800,20819900,16362700
74000,5580348800,6728239500,25394826200,16340400,15924700
75000,4874556300,6322980700,25947385500,18082700,19502300
76000,4819871700,6776488200,27021783100,16882500,16568200
77000,5049246800,6760212800,27196181200,17000400,16766300
78000,5111521000,6816457500,28007339600,20885000,23049500
79000,5454857200,7121954700,27053785600,26789100,26737800
80000,5517030400,7524042800,27453534900,17159400,17381400
81000,5357201800,7653501000,30871710600,17912200,17672300
82000,5738817800,7788310600,31853793300,18133500,17686500
83000,6010884800,8021986300,29217240500,17796100,17948000
84000,5822165700,8175396200,31798827900,18589900,18431500
85000,6246866000,8258398900,33118001400,18894200,18619000
86000,6336045700,8526954600,30736179700,18802900,18363800
87000,6443119200,8974413800,35189487900,21768500,19142500
88000,7081697000,8875862000,32034501900,19789000,19163700
89000,6777579100,9150238800,35874563300,21320200,23843900
90000,7789915200,9335220900,37433888400,19985700,19956200
91000,6812295000,9577025500,37854964800,20546800,20374400
92000,7209669600,9711671700,39334316500,20790000,20787500
93000,7292518100,9988996300,39020573800,20499100,25834600
94000,7546840800,10232149400,39885475100,20631400,20577200
95000,7832869900,10578143000,41717660300,21282600,21330500
96000,7602710800,10666435400,43105779200,23133400,21894800
97000,8112091400,10726456800,42883448400,27960600,21526700
98000,8241516000,11030372800,43933813400,34030300,29849900
99000,8474725700,11491560500,46193628800,22670600,22195300
100000,8530447700,11502017100,47534601600,32069600,24734400
