size,insertion sort,selection sort,bubble sort,quick sort,merge sort
1000,4758200,5078400,10398400,1084200,234200
2000,50644700,26887500,20232700,2423300,2315400
3000,95920200,5566300,22525100,2313800,2562500
4000,22469100,18362400,41905100,603400,777400
5000,39835000,21907000,63735700,1287200,1182400
6000,33460000,24174000,91534500,889600,885900
7000,57749100,36962000,126127700,1024900,1010700
8000,66311300,45553700,181009000,1249500,1234300
9000,83323000,57615300,217554900,1358600,1356800
10000,69096800,72773000,279657000,1765500,1499100
11000,82492700,88618300,336153100,1673600,1666700
12000,116688200,108507500,430558300,1926200,1907800
13000,117378400,126137700,482543400,2100800,2003000
14000,133528800,147828700,564018400,2211400,2368200
15000,157371400,171513100,681536900,3221300,2466100
16000,175836900,196453000,747650900,2530500,2600200
17000,227796400,227307100,1059061100,3344100,2980000
18000,226453900,257079700,971702800,2927100,2925100
19000,283393900,290025800,1318381400,3500700,3403500
20000,277525400,325936100,1225229500,3270500,3268200
21000,351498100,366393200,1649540400,3754200,3774000
22000,340021200,407864100,1504626300,3685400,3790800
23000,377346000,458602600,1937598100,4145000,4124400
24000,451462200,505898700,1892874800,4355400,4334300
25000,446507700,554795900,1968951300,4253900,4377500
26000,487498300,617200000,2555019700,4771200,4757000
27000,581451800,664740600,2775464200,5629900,5058700
28000,563263400,725672500,2651832200,4954500,4928700
29000,608470000,787086400,2851756600,5922500,5704900
30000,654243600,853144300,3075212800,5513800,5365400
31000,787521500,941424300,3886298700,5892500,5803500
32000,821912700,1005459700,3855545500,6014300,6025800
33000,818774200,1067900500,3724390300,6151300,7360500
34000,840001100,1144082700,3840991800,6172800,6158300
35000,884744700,1225394500,4106251000,6436900,6315500
36000,945082400,1315386400,4738135300,6826500,7018500
37000,995313900,1393627200,4590752800,6880000,6709800
38000,1044419800,1479040500,4919538600,7004100,7006400
39000,1159504200,1564525200,5209185600,7406700,7618200
40000,1210789600,1659766800,5514476100,7670300,7664600
41000,1285711300,1748067200,6077606100,7902200,7933700
42000,1379209400,1852435900,6928179400,8211900,8227100
43000,1482051100,1944334900,7694306500,8709000,8505100
44000,1566489700,2045127300,7198911100,8385500,8348700
45000,1448737100,2150242000,6855013100,8521700,8458200
46000,1569997600,2245050800,8462741200,9293400,9248200
47000,1740706300,2354769300,8646764700,9382800,9310800
48000,1664833800,2479455600,9155348400,9298500,9391900
49000,1770750400,2580484600,8661008800,9754200,9712900
50000,1997686800,2697865800,10145657600,10053500,10024900
51000,1855732600,2824556900,9937330000,10680900,10155400
52000,2098742000,2965648000,11153228600,10874600,10872000
53000,2290238700,3097992700,11447353500,10637400,10918100
54000,2182076900,3244308000,11307558700,11163200,11187900
55000,2423074700,3440723700,13360777700,14848900,14710900
56000,2485002300,3717432900,12919559200,11702900,11682900
57000,2626822000,3631760900,13746556600,11528700,11542100
58000,2564984800,3764449200,13632313800,12182100,12150600
59000,2829062800,3899467500,14283884000,12021400,12034700
60000,2843527000,4052761300,15713937500,12806000,12777100
61000,2797685400,4212882700,13341060300,12307300,12281700
62000,3115591800,4351090900,15759728800,12613700,12590200
63000,3166425000,4496421900,17368050300,13287700,13186900
64000,3120005900,4674080900,17622733200,13455100,13409300
65000,3459340000,4838190300,16227960700,13311700,13147300
66000,3502878500,4996690500,18767799600,13468100,13523200
67000,3647605900,5157342000,18470428500,13676500,13612500
68000,3583395300,5325599800,20147972800,14572000,14296100
69000,3795594800,5523443000,20743094500,14776700,14524200
70000,3894766800,5684773500,20771082200,14833800,14675700
71000,4016834000,5858163500,22009964800,15371800,15069000
72000,4144653500,6035226700,22119574900,15219900,15109300
73000,4274029300,6206717400,23124759200,15778400,15549000
74000,4383560000,6396961100,23969985100,16001200,15760000
75000,4481097400,6593410500,24748433700,16354600,16000900
76000,4573083500,6771258300,25431674200,16545800,16234200
77000,4735410500,6987304800,25929452800,16644700,16409000
78000,4890093500,7172394300,26703318300,16554200,16667300
79000,5097731100,7389880100,25368622700,19571500,19140300
80000,4907038100,7581028300,27181966900,17432600,17093800
81000,5279443600,7786204000,29078129800,17333500,17332500
82000,5465040600,8541402300,26666467300,17186800,17139700
83000,5591252800,8191813000,27299996100,17661800,17687500
84000,5540115200,8416844400,29121903400,18051300,17851900
85000,5879427300,8639331000,28361179000,18533600,17854800
86000,5895293700,8917613200,32681329200,18608500,18624600
87000,6180702000,9131288000,29353779200,18315800,18366200
88000,6029091700,9290151700,33943179900,19344400,19164500
89000,6388485300,9545949800,34875956100,19569700,19222200
90000,6380564900,9742758400,34226554700,19412100,19308100
91000,6418474000,10114702000,36827193500,20272200,19980500
92000,6838724100,10239993900,37051721900,20773300,20127200
93000,6842180100,10550499400,37313085400,23553100,22814000
94000,6954766700,10704726900,38812721800,20504500,20396600
95000,7199487700,10935946600,40221737900,21046800,20811600
96000,7463615900,11184525100,39961415700,21010600,21033400
97000,7521712600,11445076100,40706160500,21187400,20811600
98000,7556475200,11672912800,42466485500,21383000,21266100
99000,7929089200,11947012200,43866965700,21997600,23154400
100000,8207617400,12213162100,42789840800,22033000,21605300
